Word,Alpha,Rank,AnagramCount
DIRNDL,DDILNR,3,0
DIRT,DIRT,1,0
DIRTBAG,ABDGIRT,3,0
DIRTBAGS,ABDGIRST,3,0
DIRTIED,DDEIIRT,3,0
DIRTIER,DEIIRRT,3,0
DIRTIEST,DEIIRSTT,2,0
DIRTINESS,DEIINRSST,3,0
DIRTY,DIRTY,2,0
DIRTYING,DGIINRTY,3,0
DISABILITIES,ABDEIIIILSST,1,0
DISABILITY,ABDIIILSTY,1,0
DISABLE,ABDEILS,2,0
DISABLED,ABDDEILS,3,0
DISABLEMENT,ABDEEILMNST,3,0
DISABLES,ABDEILSS,3,0
DISABLING,ABDGIILNS,3,0
DISABUSE,ABDEISSU,3,0
DISABUSED,ABDDEISSU,3,0
DISADVANTAGE,AAADDEGINSTV,2,0
DISADVANTAGED,AAADDDEGINSTV,3,0
DISADVANTAGEOUS,AAADDEGINOSSTUV,3,0
DISADVANTAGES,AAADDEGINSSTV,2,0
DISAFFECTED,ACDDEEFFIST,2,0
DISAFFECTION,ACDEFFIINOST,2,0
DISAFFILIATION,AADFFIIIILNOST,3,0
DISAGGREGATE,AADEEGGGIRST,3,0
DISAGGREGATED,AADDEEGGGIRST,3,0
DISAGGREGATING,AADEGGGGIINRST,3,0
DISAGGREGATION,AADEGGGIINORST,3,0
DISAGREE,ADEEGIRS,1,0
DISAGREEABLE,AABDEEEGILRS,2,0
DISAGREEABLY,AABDEEGILRSY,3,0
DISAGREED,ADDEEGIRS,2,0
DISAGREEING,ADEEGGIINRS,2,0
DISAGREEMENT,ADEEEGIMNRST,1,0
DISAGREEMENTS,ADEEEGIMNRSST,2,0
DISAGREES,ADEEGIRSS,2,0
DISALLOW,ADILLOSW,3,0
DISALLOWED,ADDEILLOSW,3,0
DISALLOWING,ADGIILLNOSW,3,0
DISALLOWS,ADILLOSSW,3,0
DISAPPEAR,AADEIPPRS,1,1
DISAPPEARANCE,AAACDEEINPPRS,1,0
DISAPPEARANCES,AAACDEEINPPRSS,2,0
DISAPPEARED,AADDEEIPPRS,2,0
DISAPPEARING,AADEGIINPPRS,1,0
DISAPPEARS,AADEIPPRSS,1,0
DISAPPOINT,ADIINOPPST,2,0
DISAPPOINTED,ADDEIINOPPST,2,0
DISAPPOINTING,ADGIIINNOPPST,1,0
DISAPPOINTINGLY,ADGIIILNNOPPSTY,3,0
DISAPPOINTMENT,ADEIIMNNOPPSTT,1,0
DISAPPOINTMENTS,ADEIIMNNOPPSSTT,2,0
DISAPPOINTS,ADIINOPPSST,3,0
DISAPPROBATION,AABDIINOOPPRST,3,0
DISAPPROVAL,AADILOPPRSV,2,0
DISAPPROVE,ADEIOPPRSV,2,0
DISAPPROVED,ADDEIOPPRSV,2,0
DISAPPROVES,ADEIOPPRSSV,3,0
DISAPPROVING,ADGIINOPPRSV,2,0
DISAPPROVINGLY,ADGIILNOPPRSVY,3,0
DISARM,ADIMRS,2,0
DISARMAMENT,AADEIMMNRST,2,0
DISARMED,ADDEIMRS,3,0
DISARMING,ADGIIMNRS,2,0
DISARMINGLY,ADGIILMNRSY,3,0
DISARMS,ADIMRSS,3,0
DISARRAY,AADIRRSY,2,0
DISARRAYED,AADDEIRRSY,3,0
DISARTICULATION,AACDIIILNORSTTU,3,0
DISASSEMBLE,ABDEEILMSSS,3,0
DISASSEMBLED,ABDDEEILMSSS,3,0
DISASSEMBLING,ABDEGIILMNSSS,3,0
DISASSEMBLY,ABDEILMSSSY,3,0
DISASSOCIATE,AACDEIIOSSST,3,0
DISASSOCIATED,AACDDEIIOSSST,3,0
DISASSOCIATING,AACDGIIINOSSST,3,0
DISASSOCIATION,AACDIIINOOSSST,3,0
DISASTER,ADEIRSST,1,0
DISASTERS,ADEIRSSST,1,0
DISASTROUS,ADIORSSSTU,1,0
DISASTROUSLY,ADILORSSSTUY,3,0
DISAVOW,ADIOSVW,3,0
DISAVOWAL,AADILOSVW,3,0
DISAVOWALS,AADILOSSVW,3,0
DISAVOWED,ADDEIOSVW,3,0
DISAVOWING,ADGIINOSVW,3,0
DISAVOWS,ADIOSSVW,3,0
DISBAND,ABDDINS,2,0
DISBANDED,ABDDDEINS,3,0
DISBANDING,ABDDGIINNS,3,0
DISBAR,ABDIRS,3,1
DISBARMENT,ABDEIMNRST,3,0
DISBARRED,ABDDEIRRS,3,0
DISBELIEF,BDEEFIILS,1,0
DISBELIEVE,BDEEEIILSV,3,0
DISBELIEVED,BDDEEEIILSV,3,0
DISBELIEVERS,BDEEEIILRSSV,3,0
DISBELIEVING,BDEEGIIILNSV,2,0
DISBURSE,BDEIRSSU,3,0
DISBURSED,BDDEIRSSU,3,0
DISBURSEMENT,BDEEIMNRSSTU,3,0
DISBURSEMENTS,BDEEIMNRSSSTU,3,0
DISBURSING,BDGIINRSSU,3,0
DISC,CDIS,1,0
DISCARD,ACDDIRS,2,0
DISCARDED,ACDDDEIRS,2,0
DISCARDING,ACDDGIINRS,2,0
DISCARDS,ACDDIRSS,3,0
DISCERN,CDEINRS,2,2
DISCERNABLE,ABCDEEILNRS,3,0
DISCERNED,CDDEEINRS,3,1
DISCERNIBLE,BCDEEIILNRS,2,0
DISCERNIBLY,BCDEIILNRSY,3,0
DISCERNING,CDEGIINNRS,2,1
DISCERNMENT,CDEEIMNNRST,2,0
DISCERNS,CDEINRSS,3,0
DISCHARGE,ACDEGHIRS,2,0
DISCHARGED,ACDDEGHIRS,3,0
DISCHARGER,ACDEGHIRRS,3,0
DISCHARGERS,ACDEGHIRRSS,3,0
DISCHARGES,ACDEGHIRSS,3,0
DISCHARGING,ACDGGHIINRS,2,0
DISCIPLE,CDEIILPS,2,0
DISCIPLES,CDEIILPSS,2,0
DISCIPLESHIP,CDEHIIILPPSS,2,0
DISCIPLINARIAN,AACDIIIILNNPRS,2,0
DISCIPLINARIANS,AACDIIIILNNPRSS,3,0
DISCIPLINARY,ACDIIILNPRSY,2,0
DISCIPLINE,CDEIIILNPS,1,0
DISCIPLINED,CDDEIIILNPS,3,0
DISCIPLINES,CDEIIILNPSS,3,0
DISCIPLINING,CDGIIIILNNPS,2,0
DISCLAIM,ACDIILMS,3,0
DISCLAIMED,ACDDEIILMS,3,0
DISCLAIMER,ACDEIILMRS,2,0
DISCLAIMERS,ACDEIILMRSS,3,0
DISCLAIMING,ACDGIIILMNS,3,0
DISCLAIMS,ACDIILMSS,3,0
DISCLOSE,CDEILOSS,1,0
DISCLOSED,CDDEILOSS,3,0
DISCLOSES,CDEILOSSS,2,0
DISCLOSING,CDGIILNOSS,2,0
DISCLOSURE,CDEILORSSU,1,0
DISCLOSURES,CDEILORSSSU,2,0
DISCO,CDIOS,2,0
DISCOGRAPHY,ACDGHIOPRSY,3,0
DISCOLOR,CDILOORS,3,0
DISCOLORATION,ACDIILNOOORST,2,0
DISCOLORATIONS,ACDIILNOOORSST,3,0
DISCOLORED,CDDEILOORS,2,0
DISCOLORING,CDGIILNOORS,3,0
DISCOLOURED,CDDEILOORSU,3,0
DISCOMBOBULATED,ABBCDDEILMOOSTU,3,0
DISCOMFIT,CDFIIMOST,3,0
DISCOMFITED,CDDEFIIMOST,3,0
DISCOMFITING,CDFGIIIMNOST,3,0
DISCOMFITURE,CDEFIIMORSTU,3,0
DISCOMFORT,CDFIMOORST,1,0
DISCOMFORTING,CDFGIIMNOORST,3,0
DISCOMFORTS,CDFIMOORSST,3,0
DISCONCERT,CCDEINORST,3,0
DISCONCERTED,CCDDEEINORST,3,0
DISCONCERTING,CCDEGIINNORST,2,0
DISCONCERTINGLY,CCDEGIILNNORSTY,3,0
DISCONFIRM,CDFIIMNORS,3,0
DISCONFIRMING,CDFGIIIMNNORS,3,0
DISCONNECT,CCDEINNOST,2,0
DISCONNECTED,CCDDEEINNOST,2,0
DISCONNECTING,CCDEGIINNNOST,3,0
DISCONNECTION,CCDEIINNNOOST,2,0
DISCONNECTIONS,CCDEIINNNOOSST,3,0
DISCONNECTS,CCDEINNOSST,3,0
DISCONSOLATE,ACDEILNOOSST,3,1
DISCONSOLATELY,ACDEILLNOOSSTY,3,0
DISCONTENT,CDEINNOSTT,3,0
DISCONTENTED,CDDEEINNOSTT,3,0
DISCONTENTMENT,CDEEIMNNNOSTTT,3,0
DISCONTENTS,CDEINNOSSTT,3,0
DISCONTINUANCE,ACCDEIINNNOSTU,3,0
DISCONTINUATION,ACDIIINNNOOSTTU,3,0
DISCONTINUE,CDEIINNOSTU,2,0
DISCONTINUED,CDDEIINNOSTU,3,0
DISCONTINUING,CDGIIINNNOSTU,3,0
DISCONTINUITIES,CDEIIIINNOSSTTU,2,0
DISCONTINUITY,CDIIINNOSTTUY,2,0
DISCONTINUOUS,CDIINNOOSSTUU,2,0
DISCORD,CDDIORS,2,0
DISCORDANCE,ACCDDEINORS,3,0
DISCORDANT,ACDDINORST,2,0
DISCORDS,CDDIORSS,3,0
DISCOS,CDIOSS,3,0
DISCOTHEQUE,CDEEHIOQSTU,3,0
DISCOTHEQUES,CDEEHIOQSSTU,3,0
DISCOUNT,CDINOSTU,2,1
DISCOUNTED,CDDEINOSTU,2,1
DISCOUNTER,CDEINORSTU,3,2
DISCOUNTERS,CDEINORSSTU,3,0
DISCOUNTING,CDGIINNOSTU,2,0
DISCOUNTS,CDINOSSTU,2,0
DISCOURAGE,ACDEGIORSU,1,0
DISCOURAGED,ACDDEGIORSU,3,0
DISCOURAGEMENT,ACDEEGIMNORSTU,2,0
DISCOURAGES,ACDEGIORSSU,2,0
DISCOURAGING,ACDGGIINORSU,3,0
DISCOURAGINGLY,ACDGGIILNORSUY,3,0
DISCOURSE,CDEIORSSU,1,0
DISCOURSED,CDDEIORSSU,3,0
DISCOURSES,CDEIORSSSU,2,0
DISCOURSING,CDGIINORSSU,3,0
DISCOURTEOUS,CDEIOORSSTUU,3,0
DISCOURTESY,CDEIORSSTUY,3,0
DISCOVER,CDEIORSV,1,1
DISCOVERABLE,ABCDEEILORSV,3,0
DISCOVERED,CDDEEIORSV,3,0
DISCOVERER,CDEEIORRSV,3,1
DISCOVERERS,CDEEIORRSSV,3,1
DISCOVERIES,CDEEIIORSSV,1,0
DISCOVERING,CDEGIINORSV,1,0
DISCOVERS,CDEIORSSV,2,0
DISCOVERY,CDEIORSVY,1,0
DISCREDIT,CDDEIIRST,2,0
DISCREDITABLE,ABCDDEEIILRST,3,0
DISCREDITED,CDDDEEIIRST,3,0
DISCREDITING,CDDEGIIINRST,3,0
DISCREDITS,CDDEIIRSST,3,0
DISCREET,CDEEIRST,2,1
DISCREETLY,CDEEILRSTY,2,1
DISCREPANCIES,ACCDEEIINPRSS,2,0
DISCREPANCY,ACCDEINPRSY,2,0
DISCREPANT,ACDEINPRST,3,0
DISCRETE,CDEEIRST,2,1
DISCRETELY,CDEEILRSTY,3,1
DISCRETION,CDEIINORST,1,1
DISCRETIONARY,ACDEIINORRSTY,2,0
DISCRIMINANT,ACDIIIMNNRST,2,0
DISCRIMINATE,ACDEIIIMNRST,2,0
DISCRIMINATED,ACDDEIIIMNRST,3,0
DISCRIMINATES,ACDEIIIMNRSST,3,0
DISCRIMINATING,ACDGIIIIMNNRST,2,0
DISCRIMINATION,ACDIIIIMNNORST,1,0
DISCRIMINATIONS,ACDIIIIMNNORSST,3,0
DISCRIMINATIVE,ACDEIIIIMNRSTV,3,0
DISCRIMINATOR,ACDIIIMNORRST,3,0
DISCRIMINATORS,ACDIIIMNORRSST,3,0
DISCRIMINATORY,ACDIIIMNORRSTY,2,0
DISCS,CDISS,2,0
DISCURSIVE,CDEIIRSSUV,2,0
DISCURSIVELY,CDEIILRSSUVY,3,0
DISCUS,CDISSU,2,0
DISCUSS,CDISSSU,1,0
DISCUSSANT,ACDINSSSTU,3,0
DISCUSSANTS,ACDINSSSSTU,3,0
DISCUSSED,CDDEISSSU,3,0
DISCUSSES,CDEISSSSU,1,0
DISCUSSING,CDGIINSSSU,1,0
DISCUSSION,CDIINOSSSU,1,0
DISCUSSIONS,CDIINOSSSSU,1,0
DISDAIN,ADDIINS,3,0
DISDAINED,ADDDEIINS,3,0
DISDAINFUL,ADDFIILNSU,2,0
DISDAINFULLY,ADDFIILLNSUY,3,0
DISDAINING,ADDGIIINNS,3,0
DISDAINS,ADDIINSS,3,0
DISEASE,ADEEISS,1,1
DISEASED,ADDEEISS,2,0
DISEASES,ADEEISSS,1,0
DISEMBARK,ABDEIKMRS,3,0
DISEMBARKATION,AABDEIIKMNORST,3,0
DISEMBARKED,ABDDEEIKMRS,3,0
DISEMBARKING,ABDEGIIKMNRS,3,0
DISEMBODIED,BDDDEEIIMOS,3,0
DISEMBOWEL,BDEEILMOSW,3,0
DISEMBOWELED,BDDEEEILMOSW,3,0
DISEMBOWELING,BDEEGIILMNOSW,3,0
DISENCHANTED,ACDDEEHINNST,2,0
DISENCHANTMENT,ACDEEHIMNNNSTT,2,0
DISENFRANCHISE,ACDEEFHIINNRSS,3,0
DISENFRANCHISED,ACDDEEFHIINNRSS,3,0
DISENGAGE,ADEEGGINS,2,0
DISENGAGED,ADDEEGGINS,3,0
DISENGAGEMENT,ADEEEGGIMNNST,2,0
DISENGAGES,ADEEGGINSS,3,0
DISENGAGING,ADEGGGIINNS,3,0
DISENTANGLE,ADEEGILNNST,3,0
DISENTANGLED,ADDEEGILNNST,3,0
DISENTANGLING,ADEGGIILNNNST,3,0
DISEQUILIBRIUM,BDEIIIILMQRSUU,3,0
DISFAVOR,ADFIORSV,3,0
DISFAVORED,ADDEFIORSV,3,0
DISFIGURE,DEFGIIRSU,3,0
DISFIGURED,DDEFGIIRSU,3,0
DISFIGUREMENT,DEEFGIIMNRSTU,3,0
DISFIGUREMENTS,DEEFGIIMNRSSTU,3,0
DISFIGURES,DEFGIIRSSU,3,0
DISFIGURING,DFGGIIINRSU,3,0
DISGORGE,DEGGIORS,3,0
DISGORGED,DDEGGIORS,3,0
DISGORGES,DEGGIORSS,3,0
DISGORGING,DGGGIINORS,3,0
DISGRACE,ACDEGIRS,3,0
DISGRACED,ACDDEGIRS,3,0
DISGRACEFUL,ACDEFGILRSU,2,0
DISGRACEFULLY,ACDEFGILLRSUY,3,0
DISGRACING,ACDGGIINRS,3,0
DISGRUNTLED,DDEGILNRSTU,2,0
DISGRUNTLEMENT,DEEGILMNNRSTTU,3,0
DISGUISE,DEGIISSU,2,0
DISGUISED,DDEGIISSU,2,0
DISGUISES,DEGIISSSU,3,0
DISGUISING,DGGIIINSSU,2,0
DISGUST,DGISSTU,1,0
DISGUSTED,DDEGISSTU,3,0
DISGUSTEDLY,DDEGILSSTUY,3,0
DISGUSTING,DGGIINSSTU,2,0
DISGUSTINGLY,DGGIILNSSTUY,3,0
DISGUSTS,DGISSSTU,3,0
DISH,DHIS,2,0
DISHABILLE,ABDEHIILLS,3,0
DISHARMONIOUS,ADHIIMNOORSSU,3,0
DISHARMONY,ADHIMNORSY,3,0
DISHCLOTH,CDHHILOST,3,0
DISHCLOTHS,CDHHILOSST,3,0
DISHEARTENED,ADDEEEHINRST,3,0
DISHEARTENING,ADEEGHIINNRST,3,0
DISHED,DDEHIS,3,0
DISHES,DEHISS,3,1
DISHEVELED,DDEEEHILSV,2,0
DISHEVELLED,DDEEEHILLSV,3,0
DISHING,DGHIINS,2,1
DISHONEST,DEHINOSST,2,1
DISHONESTLY,DEHILNOSSTY,3,0
DISHONESTY,DEHINOSSTY,2,0
DISHONOR,DHINOORS,2,0
DISHONORABLE,ABDEHILNOORS,3,0
DISHONORABLY,ABDHILNOORSY,3,0
DISHONORED,DDEHINOORS,3,0
DISHONORING,DGHIINNOORS,3,0
DISHONORS,DHINOORSS,3,0
DISHPAN,ADHINPS,3,0
DISHRAG,ADGHIRS,3,0
DISHRAGS,ADGHIRSS,3,0
DISHTOWEL,DEHILOSTW,3,0
DISHTOWELS,DEHILOSSTW,3,0
DISHWARE,ADEHIRSW,3,0
DISHWASHER,ADEHHIRSSW,2,0
DISHWASHERS,ADEHHIRSSSW,2,0
DISHWATER,ADEHIRSTW,3,0
DISHY,DHISY,3,0
DISILLUSION,DIIILLNOSSU,3,0
DISILLUSIONED,DDEIIILLNOSSU,2,0
DISILLUSIONING,DGIIIILLNNOSSU,3,0
DISILLUSIONMENT,DEIIILLMNNOSSTU,2,0
DISINCENTIVE,CDEEIIINNSTV,2,0
DISINCENTIVES,CDEEIIINNSSTV,3,0
DISINCLINATION,ACDIIIILNNNOST,3,0
DISINCLINED,CDDEIIILNNS,3,0
DISINFECT,CDEFIINST,3,0
DISINFECTANT,ACDEFIINNSTT,2,0
DISINFECTANTS,ACDEFIINNSSTT,3,0
DISINFECTED,CDDEEFIINST,3,0
DISINFECTING,CDEFGIIINNST,3,0
DISINFECTION,CDEFIIINNOST,2,0
DISINFLATION,ADFIIILNNOST,3,0
DISINFORMATION,ADFIIIMNNOORST,2,0
DISINGENUOUS,DEGIINNOSSUU,2,0
DISINGENUOUSLY,DEGIILNNOSSUUY,3,0
DISINHERIT,DEHIIINRST,3,0
DISINHERITED,DDEEHIIINRST,3,0
DISINHIBITED,BDDEHIIIINST,3,0
DISINHIBITION,BDHIIIIINNOST,3,0
DISINTEGRATE,ADEEGIINRSTT,2,0
DISINTEGRATED,ADDEEGIINRSTT,3,0
DISINTEGRATES,ADEEGIINRSSTT,3,0
DISINTEGRATING,ADEGGIIINNRSTT,3,0
DISINTEGRATION,ADEGIIINNORSTT,2,0
DISINTEGRATIVE,ADEEGIIINRSTTV,3,0
DISINTEREST,DEEIINRSSTT,2,0
DISINTERESTED,DDEEEIINRSSTT,2,0
DISINTERESTEDLY,DDEEEIILNRSSTTY,3,0
DISINTERRED,DDEEIINRRST,3,0
DISINVESTMENT,DEEIIMNNSSTTV,3,0
DISINVITED,DDEIIINSTV,3,0
DISJOINT,DIIJNOST,3,0
DISJOINTED,DDEIIJNOST,2,0
DISJUNCT,CDIJNSTU,3,0
DISJUNCTION,CDIIJNNOSTU,2,0
DISJUNCTIONS,CDIIJNNOSSTU,3,0
DISJUNCTIVE,CDEIIJNSTUV,3,0
DISJUNCTURE,CDEIJNRSTUU,3,0
DISJUNCTURES,CDEIJNRSSTUU,3,0
DISK,DIKS,1,2
DISKETTE,DEEIKSTT,3,0
DISKETTES,DEEIKSSTT,3,0
DISKS,DIKSS,2,1
DISLIKE,DEIIKLS,2,0
DISLIKED,DDEIIKLS,3,0
DISLIKES,DEIIKLSS,2,0
DISLIKING,DGIIIKLNS,3,0
DISLOCATE,ACDEILOST,3,0
DISLOCATED,ACDDEILOST,3,0
DISLOCATING,ACDGIILNOST,3,0
DISLOCATION,ACDIILNOOST,2,0
DISLOCATIONS,ACDIILNOOSST,2,0
DISLODGE,DDEGILOS,2,0
DISLODGED,DDDEGILOS,3,0
DISLODGES,DDEGILOSS,3,0
DISLODGING,DDGGIILNOS,3,0
DISLOYAL,ADILLOSY,2,0
DISLOYALTY,ADILLOSTYY,2,0
DISMAL,ADILMS,2,0
DISMALLY,ADILLMSY,3,0
DISMANTLE,ADEILMNST,2,0
DISMANTLED,ADDEILMNST,3,0
DISMANTLEMENT,ADEEILMMNNSTT,3,0
DISMANTLES,ADEILMNSST,3,0
DISMANTLING,ADGIILMNNST,2,0
DISMAY,ADIMSY,2,0
DISMAYED,ADDEIMSY,3,0
DISMAYING,ADGIIMNSY,3,0
DISMAYINGLY,ADGIILMNSYY,3,0
DISMAYS,ADIMSSY,3,0
DISMEMBER,BDEEIMMRS,3,0
DISMEMBERED,BDDEEEIMMRS,3,0
DISMEMBERING,BDEEGIIMMNRS,3,0
DISMEMBERMENT,BDEEEIMMMNRST,2,0
DISMISS,DIIMSSS,1,0
DISMISSAL,ADIILMSSS,2,0
DISMISSALS,ADIILMSSSS,2,0
DISMISSED,DDEIIMSSS,3,0
DISMISSES,DEIIMSSSS,2,0
DISMISSING,DGIIIMNSSS,2,0
DISMISSIVE,DEIIIMSSSV,2,0
DISMISSIVELY,DEIIILMSSSVY,2,0
DISMOUNT,DIMNOSTU,2,0
DISMOUNTED,DDEIMNOSTU,3,0
DISMOUNTING,DGIIMNNOSTU,3,0
DISMOUNTS,DIMNOSSTU,3,0
DISOBEDIENCE,BCDDEEEIINOS,2,0
DISOBEDIENT,BDDEEIINOST,3,0
DISOBEY,BDEIOSY,2,0
DISOBEYED,BDDEEIOSY,3,0
DISOBEYING,BDEGIINOSY,3,0
DISOBEYS,BDEIOSSY,3,0
DISORDER,DDEIORRS,1,0
DISORDERED,DDDEEIORRS,3,0
DISORDERLY,DDEILORRSY,2,0
DISORDERS,DDEIORRSS,1,0
DISORGANIZATION,AADGIIINNOORSTZ,2,0
DISORGANIZED,ADDEGIINORSZ,3,0
DISORIENT,DEIINORST,3,1
DISORIENTATED,ADDEEIINORSTT,3,0
DISORIENTATION,ADEIIINNOORSTT,2,0
DISORIENTED,DDEEIINORST,3,0
DISORIENTING,DEGIIINNORST,3,0
DISORIENTS,DEIINORSST,3,0
DISOWN,DINOSW,3,0
DISOWNED,DDEINOSW,3,1
DISOWNING,DGIINNOSW,3,0
DISPARAGE,AADEGIPRS,2,0
DISPARAGED,AADDEGIPRS,3,0
DISPARAGEMENT,AADEEGIMNPRST,3,0
DISPARAGES,AADEGIPRSS,3,0
DISPARAGING,AADGGIINPRS,2,0
DISPARAGINGLY,AADGGIILNPRSY,3,0
DISPARATE,AADEIPRST,2,1
DISPARITIES,ADEIIIPRSST,2,0
DISPARITY,ADIIPRSTY,2,0
DISPASSION,ADIINOPSSS,3,0
DISPASSIONATE,AADEIINOPSSST,2,0
DISPASSIONATELY,AADEIILNOPSSSTY,3,0
DISPATCH,ACDHIPST,2,0
DISPATCHED,ACDDEHIPST,2,0
DISPATCHER,ACDEHIPRST,2,0
DISPATCHERS,ACDEHIPRSST,2,0
DISPATCHES,ACDEHIPSST,2,0
DISPATCHING,ACDGHIINPST,2,0
DISPEL,DEILPS,2,1
DISPELLED,DDEEILLPS,3,0
DISPELLING,DEGIILLNPS,3,0
DISPELS,DEILPSS,3,0
DISPENSABLE,ABDEEILNPSS,3,0
DISPENSARIES,ADEEIINPRSSS,3,0
DISPENSARY,ADEINPRSSY,3,0
DISPENSATION,ADEIINNOPSST,2,0
DISPENSATIONS,ADEIINNOPSSST,3,0
DISPENSE,DEEINPSS,2,0
DISPENSED,DDEEINPSS,3,0
DISPENSER,DEEINPRSS,2,0
DISPENSERS,DEEINPRSSS,3,0
DISPENSES,DEEINPSSS,2,0
DISPENSING,DEGIINNPSS,2,0
DISPERSAL,ADEILPRSS,2,0
DISPERSALS,ADEILPRSSS,3,0
DISPERSANT,ADEINPRSST,3,0
DISPERSANTS,ADEINPRSSST,3,0
DISPERSE,DEEIPRSS,2,1
DISPERSED,DDEEIPRSS,3,0
DISPERSERS,DEEIPRRSSS,3,0
DISPERSES,DEEIPRSSS,3,0
DISPERSING,DEGIINPRSS,2,0
DISPERSION,DEIINOPRSS,2,0
DISPERSIONS,DEIINOPRSSS,3,0
DISPERSIVE,DEEIIPRSSV,3,0
DISPIRITED,DDEIIIPRST,3,0
DISPIRITEDLY,DDEIIILPRSTY,3,0
DISPIRITING,DGIIIINPRST,3,0
DISPLACE,ACDEILPS,2,0
DISPLACED,ACDDEILPS,2,0
DISPLACEMENT,ACDEEILMNPST,2,0
DISPLACEMENTS,ACDEEILMNPSST,2,0
DISPLACES,ACDEILPSS,3,0
DISPLACING,ACDGIILNPS,2,0
DISPLAY,ADILPSY,1,0
DISPLAYED,ADDEILPSY,3,0
DISPLAYING,ADGIILNPSY,2,0
DISPLAYS,ADILPSSY,1,0
DISPLEASE,ADEEILPSS,3,0
DISPLEASED,ADDEEILPSS,3,0
DISPLEASES,ADEEILPSSS,3,0
DISPLEASING,ADEGIILNPSS,3,0
DISPLEASURE,ADEEILPRSSU,2,0
DISPOSABLE,ABDEILOPSS,2,0
DISPOSABLES,ABDEILOPSSS,3,0
DISPOSAL,ADILOPSS,1,0
DISPOSALS,ADILOPSSS,3,0
DISPOSE,DEIOPSS,2,0
DISPOSED,DDEIOPSS,3,0
DISPOSER,DEIOPRSS,3,0
DISPOSES,DEIOPSSS,3,0
DISPOSING,DGIINOPSS,2,0
DISPOSITION,DIIINOOPSST,2,0
DISPOSITIONAL,ADIIILNOOPSST,2,0
DISPOSITIONS,DIIINOOPSSST,2,0
DISPOSITIVE,DEIIIOPSSTV,3,0
DISPOSSESS,DEIOPSSSSS,3,0
DISPOSSESSED,DDEEIOPSSSSS,3,0
DISPOSSESSING,DEGIINOPSSSSS,3,0
DISPOSSESSION,DEIINOOPSSSSS,2,0
DISPROPORTION,DIINOOOPPRRST,3,0
DISPROPORTIONAL,ADIILNOOOPPRRST,3,0
DISPROVE,DEIOPRSV,2,1
DISPROVED,DDEIOPRSV,3,0
DISPROVEN,DEINOPRSV,3,0
DISPROVES,DEIOPRSSV,3,0
DISPROVING,DGIINOPRSV,3,0
DISPUTABLE,ABDEILPSTU,3,0
DISPUTANTS,ADINPSSTTU,3,0
DISPUTATION,ADIINOPSTTU,3,0
DISPUTATIONS,ADIINOPSSTTU,3,0
DISPUTATIOUS,ADIIOPSSTTUU,3,0
DISPUTE,DEIPSTU,2,0
DISPUTED,DDEIPSTU,2,0
DISPUTES,DEIPSSTU,1,0
DISPUTING,DGIINPSTU,2,0
DISQUALIFIED,ADDEFIIILQSU,3,0
DISQUALIFIES,ADEFIIILQSSU,3,0
DISQUALIFY,ADFIILQSUY,2,0
DISQUALIFYING,ADFGIIILNQSUY,3,0
DISQUIET,DEIIQSTU,3,0
DISQUIETING,DEGIIINQSTU,2,0
DISQUIETUDE,DDEEIIQSTUU,3,0
DISQUISITION,DIIIINOQSSTU,3,0
DISQUISITIONS,DIIIINOQSSSTU,3,0
DISREGARD,ADDEGIRRS,2,0
DISREGARDED,ADDDEEGIRRS,2,0
DISREGARDING,ADDEGGIINRRS,2,0
DISREGARDS,ADDEGIRRSS,3,0
DISREPAIR,ADEIIPRRS,2,0
DISREPUTABLE,ABDEEILPRSTU,2,0
DISREPUTE,DEEIPRSTU,3,0
DISRESPECT,CDEEIPRSST,2,0
DISRESPECTED,CDDEEEIPRSST,3,0
DISRESPECTFUL,CDEEFILPRSSTU,2,0
DISRESPECTFULLY,CDEEFILLPRSSTUY,3,0
DISRESPECTING,CDEEGIINPRSST,3,0
DISRESPECTS,CDEEIPRSSST,3,0
DISROBE,BDEIORS,3,0
DISROBED,BDDEIORS,3,0
DISROBING,BDGIINORS,3,0
DISRUPT,DIPRSTU,2,0
DISRUPTED,DDEIPRSTU,2,0
DISRUPTER,DEIPRRSTU,3,0
DISRUPTERS,DEIPRRSSTU,3,0
DISRUPTING,DGIINPRSTU,2,0
DISRUPTION,DIINOPRSTU,2,0
DISRUPTIONS,DIINOPRSSTU,2,0
DISRUPTIVE,DEIIPRSTUV,2,0
DISRUPTIVENESS,DEEIINPRSSSTUV,3,0
DISRUPTOR,DIOPRRSTU,3,0
DISRUPTORS,DIOPRRSSTU,3,0
DISRUPTS,DIPRSSTU,2,0
DISSATISFACTION,AACDFIIINOSSSTT,2,0
DISSATISFIED,ADDEFIIISSST,2,0
DISSATISFYING,ADFGIIINSSSTY,3,0
DISSECT,CDEISST,2,0
DISSECTED,CDDEEISST,3,0
DISSECTING,CDEGIINSST,2,0
DISSECTION,CDEIINOSST,2,0
DISSECTIONS,CDEIINOSSST,3,0
DISSECTS,CDEISSST,3,0
DISSED,DDEISS,3,0
DISSEMBLE,BDEEILMSS,3,0
DISSEMBLED,BDDEEILMSS,3,0
DISSEMBLER,BDEEILMRSS,3,0
DISSEMBLING,BDEGIILMNSS,3,0
DISSEMINATE,ADEEIIMNSST,2,0
DISSEMINATED,ADDEEIIMNSST,3,0
DISSEMINATES,ADEEIIMNSSST,3,0
